0_0,0_123_aout,0_123_bout,0_164_aout,0_164_bout,0_205_aout,0_205_bout,0_246_aout,0_246_bout,0_41_aout,0_41_bout,0_82_aout,0_82_bout,660_0,660_123_aout,660_123_bout,660_164_aout,660_164_bout,660_205_aout,660_205_bout,660_246_aout,660_246_bout,660_41_aout,660_41_bout,660_82_aout,660_82_bout,960_0,960_123_aout,960_123_bout,960_164_aout,960_164_bout,960_205_aout,960_205_bout,960_246_aout,960_246_bout,960_41_aout,960_41_bout,960_82_aout,960_82_bout
10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
9440.0,8934.6,9384.8,9652.0,8477.0,9502.4,9540.8,9279.0,9662.4,9229.4,9529.2,8873.6,8601.6,8726.2,8041.0,8697.4,8144.6,8308.6,8067.4,8243.4,7661.6,8488.0,8269.0,8315.4,8543.8,8459.6,8210.6,8526.4,8512.8,8184.0,8550.0,8266.2,8251.4,9058.8,8561.6,8225.8,8830.0,8424.8,8631.0
8637.6,8686.8,8704.2,8918.4,8021.2,8839.4,8988.8,8736.0,8939.6,8261.2,8832.8,8545.8,7813.2,8613.2,7359.4,7835.8,7509.6,7563.6,7512.2,7932.0,7161.4,8111.0,8382.6,7738.4,7668.2,8027.0,6805.4,7915.2,8380.2,7231.0,8150.0,7267.2,7629.8,7833.8,7641.0,7863.6,8837.2,7651.8,7935.0
7401.2,8319.8,8247.2,7770.8,6260.4,8296.4,8662.0,8252.6,8371.2,7889.2,8265.2,7150.0,6455.0,7803.2,7255.8,6974.2,6690.8,7440.2,7171.6,7646.6,6618.6,7810.8,7496.8,7458.4,7385.8,8155.0,5759.2,7265.6,5927.0,4587.6,6410.4,5568.2,7091.8,6895.0,5735.8,5570.6,7893.0,7165.2,7104.4
7429.4,7266.2,8070.0,6946.2,6128.4,7673.2,8120.0,7104.2,8157.8,6877.6,7957.4,6082.2,6486.0,6602.8,7145.6,7366.6,6514.6,6942.2,6828.4,7492.0,6268.2,7711.0,7361.0,7006.4,6846.8,7773.4,4054.8,6912.6,5978.0,4171.0,5483.2,4483.8,4375.0,5445.6,5319.6,4102.8,7442.8,6589.2,4698.4
7469.8,6929.6,7683.8,6767.4,5789.4,7514.0,7354.0,6915.4,8153.2,5778.2,7328.2,5883.6,6336.4,6355.4,7126.6,6474.8,5545.2,6000.4,6613.2,7300.6,5804.0,7381.0,6382.2,6922.0,6381.6,7008.4,3893.4,5573.0,5430.2,3632.2,4658.2,4862.2,4112.4,5164.4,4939.2,4106.6,6775.4,4656.0,4868.8
7396.6,6718.6,7532.0,6619.8,5506.0,6788.6,7289.4,6740.6,7042.4,5960.0,7279.8,5834.4,6234.6,6213.2,7000.4,5422.6,4875.2,5765.8,6498.8,7464.6,4781.8,7118.4,5939.4,6797.6,6587.6,6663.2,3738.4,4919.8,4656.0,3395.6,4445.6,4335.4,4028.8,4958.8,3729.8,3542.8,5145.8,4087.2,4828.2
7226.4,6530.8,7366.4,6774.4,5364.8,6611.4,7292.8,6643.6,5655.8,5578.2,7690.0,5988.4,6150.0,6063.0,6916.0,5349.0,4675.8,5215.8,6120.8,5781.2,4216.4,6310.4,5046.6,6307.2,6363.0,6024.2,3577.2,4340.8,4522.2,3120.8,3622.4,4195.6,3968.4,4720.4,3331.0,3616.2,5114.2,3968.0,4858.6
6953.4,6046.0,7353.2,6651.6,5406.8,6544.8,7124.0,6475.8,6168.8,5702.0,7664.2,5964.8,6085.4,6235.4,5656.8,5110.8,4340.2,5115.0,6050.6,5757.4,4064.4,6191.2,5213.0,6223.6,4765.6,5727.6,3567.6,4192.2,4453.2,3018.2,3530.6,4347.4,3688.6,4551.2,3186.6,3078.4,5244.0,4049.6,4668.2
6886.6,5983.6,7176.0,6533.2,5408.0,6545.2,7050.4,6390.4,4994.4,5782.2,7672.6,6095.6,6060.2,6038.0,5476.6,4963.6,4239.2,5074.2,5949.6,4905.4,3956.6,5871.2,4981.0,5842.6,4657.4,5555.2,3547.0,4144.6,4377.2,3460.8,3230.6,4236.2,2862.8,4238.4,3210.8,2676.2,5144.4,4035.8,4683.2
